updated;country;cases;todayCases;deaths;todayDeaths;recovered;todayRecovered;active;critical;casesPerOneMillion;deathsPerOneMillion;tests;testsPerOneMillion;population;continent;oneCasePerPeople;oneDeathPerPeople;oneTestPerPeople;activePerOneMillion;recoveredPerOneMillion;criticalPerOneMillion
1,77602E+12;Japan;33803572;0;74694;0;0;0;33728878;0;269169;595;100414883;799578;125584838;Asia;4;1681;1;268574,44;0;0
1,77602E+12;Jordan;1746997;0;14122;0;1731007;0;1868;59;169597;1371;17201885;1669945;10300869;Asia;6;729;1;181,34;168044,75;5,73
1,77602E+12;Kazakhstan;1411831;0;13848;0;1383020;0;14963;24;73514;721;11575012;602707;19205043;Asia;14;1387;2;779,12;72013,38;1,25
1,77602E+12;Kenya;344130;0;5689;0;337309;0;1132;0;6122;101;3967062;70569;56215221;Africa;163;9881;14;20,14;6000,31;0
1,77602E+12;Kiribati;5085;0;24;0;2703;0;2358;3;41201;194;0;0;123419;Australia-Oceania;24;5142;0;19105,65;21901;24,31
1,77602E+12;Kuwait;667158;0;2570;0;0;0;664588;0;152308;587;8455743;1930391;4380326;Asia;7;1704;1;151721,13;0;0
1,77602E+12;Kyrgyzstan;206897;0;2991;0;196406;0;7500;131;30750;445;1907195;283460;6728271;Asia;33;2250;4;1114,7;29191,15;19,47
1,77602E+12;Lao People's Democratic Republic;218970;0;758;0;0;0;218212;0;29270;101;1233207;164845;7481023;Asia;34;9869;6;29168,74;0;0
1,77602E+12;Latvia;982505;0;6715;0;971406;0;4384;0;531418;3632;7885792;4265272;1848837;Europe;2;275;0;2371,22;525414,63;0
1,77602E+12;Lebanon;1243838;0;10952;0;1087587;0;145299;74;186068;1638;4795578;717380;6684849;Asia;5;610;1;21735,57;162694,33;11,07
1,77602E+12;Lesotho;36138;0;723;0;25980;0;9435;0;16610;332;431221;198199;2175699;Africa;60;3009;5;4336,54;11940,99;0
1,77602E+12;Liberia;8090;0;295;0;7783;0;12;2;1525;56;139824;26356;5305117;Africa;656;17983;38;2,26;1467,07;0,38
1,77602E+12;Libyan Arab Jamahiriya;507274;0;6437;0;500835;0;2;0;72048;914;2483848;352782;7040745;Africa;14;1094;3;0,28;71133,81;0
1,77602E+12;Liechtenstein;21574;0;94;0;0;0;21480;0;562013;2449;112457;2929559;38387;Europe;2;408;0;559564,44;0;0
1,77602E+12;Lithuania;1397806;0;9897;0;1387478;0;431;0;525154;3718;10540357;3959997;2661708;Europe;2;269;0;161,93;521273,56;0
1,77602E+12;Luxembourg;391232;0;1232;0;0;0;390000;0;609044;1918;4587145;7140959;642371;Europe;2;521;0;607125,79;0;0
1,77602E+12;MS Zaandam;9;0;2;0;7;0;0;0;0;0;0;0;0;;0;0;0;0;0;0
1,77602E+12;Macao;27673;0;123;0;3487;0;24063;0;41458;184;7850;11760;667490;Asia;24;5427;85;36049,98;5224,05;0
1,77602E+12;Macedonia;350567;0;9976;0;337068;0;3523;0;168436;4793;2226216;1069626;2081304;Europe;6;209;1;1692,69;161950,39;0
1,77602E+12;Madagascar;68486;0;1426;0;66862;0;198;0;2347;49;531329;18210;29178077;Africa;426;20461;55;6,79;2291,51;0
1,77602E+12;Malawi;89535;0;2686;0;0;0;86849;0;4437;133;624784;30959;20180839;Africa;225;7513;32;4303,54;0;0
1,77602E+12;Malaysia;5278406;0;37348;0;5233268;0;7790;11;159079;1126;68580916;2066869;33181072;Asia;6;888;0;234,77;157718,47;0,33
1,77602E+12;Maldives;186694;0;316;0;163687;0;22691;25;345100;584;2213831;4092223;540985;Asia;3;1712;0;41943,86;302572,16;46,21
1,77602E+12;Mali;33164;0;743;0;32332;0;89;0;1544;35;804909;37483;21473764;Africa;648;28901;27;4,14;1505,65;0
1,77602E+12;Malta;121420;0;885;0;120149;0;386;0;273448;1993;2170600;4888375;444033;Europe;4;502;0;869,3;270585,74;0
1,77602E+12;Marshall Islands;16138;0;17;0;16121;0;0;0;268711;283;0;0;60057;Australia-Oceania;4;3533;0;0;268428,33;0
1,77602E+12;Martinique;230354;0;1102;0;0;0;229252;0;615777;2946;828928;2215870;374087;North America;2;339;0;612830,71;0;0
1,77602E+12;Mauritania;63848;0;997;0;62471;0;380;0;13025;203;1009957;206030;4901981;Africa;77;4917;5;77,52;12744,03;0
1,77602E+12;Mauritius;43025;0;1051;0;41278;0;696;0;33752;824;358675;281374;1274727;Africa;30;1213;4;546;32381,84;0
1,77602E+12;Mayotte;42027;0;188;0;0;0;41839;0;146815;657;176919;618038;286259;Africa;7;1523;2;146157,85;0;0
1,77602E+12;Mexico;7702809;0;334958;0;6899865;0;467986;0;58549;2546;20013810;152124;131562772;North America;17;393;7;3557,13;52445,42;0
1,77602E+12;Micronesia;26547;0;65;0;0;0;26482;0;225953;553;82430;701598;117489;Australia-Oceania;4;1808;1;225399,82;0;0
1,77602E+12;Moldova;635145;0;12218;0;0;0;622927;0;158265;3044;3216305;801437;4013171;Europe;6;328;1;155220,65;0;0
1,77602E+12;Monaco;17181;0;67;0;0;0;17114;0;431868;1684;78646;1976875;39783;Europe;2;594;1;430183,75;0;0
1,77602E+12;Mongolia;1011496;0;2284;0;1009212;0;0;0;299429;676;4030048;1193000;3378078;Asia;3;1479;1;0;298753,31;0
1,77602E+12;Montenegro;296542;0;2846;0;291794;0;1902;0;472238;4532;2769281;4410034;627950;Europe;2;221;0;3028,9;464677,12;0
1,77602E+12;Montserrat;1403;0;8;0;1376;0;19;0;282578;1611;17762;3577442;4965;North America;4;621;0;3826,79;277139,98;0
1,77602E+12;Morocco;1278992;0;16303;0;0;0;1262689;0;33860;432;13001033;344191;37772756;Africa;30;2317;3;33428,56;0;0
1,77602E+12;Mozambique;233731;0;2250;0;228805;0;2676;11;7064;68;1371127;41437;33089461;Africa;142;14706;24;80,87;6914,74;0,33
1,77602E+12;Myanmar;641873;0;19495;0;620159;0;2219;0;11622;353;11711514;212061;55227143;Asia;86;2833;5;40,18;11229,24;0
1,77602E+12;N. Korea;4772813;0;74;0;4772739;0;0;0;183636;3;0;0;25990679;Asia;5;351225;0;0;183632,72;0
1,77602E+12;Namibia;172389;0;4106;0;167099;0;1184;0;65451;1559;1062663;403460;2633874;Africa;15;641;2;449,53;63442,29;0
1,77602E+12;Nauru;5393;0;1;0;5347;0;45;0;494635;92;20509;1881042;10903;Australia-Oceania;2;10903;1;4127,3;490415,48;0
1,77602E+12;Nepal;1003450;0;12031;0;991322;0;97;0;33199;398;6047766;200088;30225582;Asia;30;2512;5;3,21;32797,45;0
1,77602E+12;Netherlands;8635786;0;22992;0;8612599;0;195;0;501747;1336;25984435;1509718;17211447;Europe;2;749;1;11,33;500399,47;0
1,77602E+12;New Caledonia;80064;0;314;0;0;0;79750;0;275214;1079;98964;340182;290915;Australia-Oceania;4;926;3;274135,06;0;0
1,77602E+12;New Zealand;2621111;0;5697;0;2613791;0;1623;0;535117;1163;7768604;1586011;4898203;Australia-Oceania;2;860;1;331,35;533622,43;0
1,77602E+12;Nicaragua;18491;0;225;0;4225;0;14041;0;2728;33;0;0;6779100;North America;367;30129;0;2071,22;623,24;0
1,77602E+12;Niger;9931;0;312;0;8890;0;729;1;381;12;254538;9759;26083660;Africa;2626;83601;102;27,95;340,83;0,04
1,77602E+12;Nigeria;267188;0;3155;0;259953;0;4080;11;1233;15;5708974;26339;216746934;Africa;811;68700;38;18,82;1199,34;0,05
1,77602E+12;Niue;1059;0;0;0;1056;0;3;0;652898;0;0;0;1622;Australia-Oceania;2;0;0;1849,57;651048,09;0
1,77602E+12;Norway;1509732;0;6638;0;1503094;0;0;0;273930;1204;11002430;1996315;5511370;Europe;4;830;1;0;272726,02;0
1,77602E+12;Oman;399449;0;4628;0;0;0;394821;0;75028;869;25000000;4695724;5323993;Asia;13;1150;0;74158,81;0;0
1,77602E+12;Pakistan;1581936;0;30664;0;1538689;0;12583;0;6893;134;30589153;133292;229488994;Asia;145;7484;8;54,83;6704,85;0
1,77602E+12;Palau;6290;0;10;0;6276;0;4;0;344979;548;71434;3917841;18233;Australia-Oceania;3;1823;0;219,38;344211,05;0
1,77602E+12;Palestine;621008;0;5404;0;615445;0;159;0;116173;1011;3078533;575907;5345541;Asia;9;989;2;29,74;115132,41;0
